,,行政部2026年预算,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,一级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,二级部门,行政部,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,全年合计,一季度,1月,2月,3月,二季度,4月,5月,6月,三季度,7月,8月,9月,四季度,10月,11月,12月,,,,,,,,,,,,
,,预估人数（正式+外包）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,公司级福利,全员周年礼品（一周年、五周年、十周年）,1980946,120000,"120,000.00 ",,,668940,,,668940.00,,,,,1192006,1192006,,,,,,,,,,,,,,
,,公司级福利,新员工入职餐券+入职包,85920,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,公司级福利,公司级社团-北京 武汉,310360,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,公司级福利,双刊项目（包含时光相册和故事集）,655000,,,,,455000,,,455000,,,,,200000,200000,,,,,,,,,,,,,,
办公,办公及邮寄,办公费,名片,15600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,办公费,日常办公用品+北京职场低值易耗品,95000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,办公费,武汉职场低值易耗品,119200,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,邮寄费,北京快递费,610000,178000,96000,34000,48000,156000,41000,70000,45000,145000,45000,35000,65000,132000,41000,34000,56000,,,,,,,,,,,,
,星云专项,星云训练营专项,房租（包含安保+保洁）,360000,,,,,,,,,360000,120000,120000,120000,,,,,,,,,,,,,,,,
,,星云训练营专项,日常耗材,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,星云训练营专项,软装设计+复原,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
平台,数字化运营,数字化运营,分贝通平台服务费,72000,18000,6000,6000,6000,18000,6000,6000,6000,18000,6000,6000,6000,18000,6000,6000,6000,,,,,,,,,,,,
,,合计,合计,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,综合缺省,房租+物业+小米其他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,综合缺省,集团综合服务费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,综合缺省,水电+能源,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,综合缺省,公司级福利费汇总,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,综合缺省,低值易耗品汇总,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,综合缺省,邮寄费汇总,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,综合缺省,办公费汇总,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
